review_date,over_all_rating,review_header,trip_verified,review_text,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food__beverages,inflight_entertainment,ground_service,wifi__connectivity,value_for_money,recommended,airline_name
2025-08-04,1,"""showed zero empathy for passengers""",Trip Verified," My afternoon flight was delayed and eventually flew only at 7 PM, completely ruining my day. Even worse, my return flight, which was scheduled for 11 PM, was silently pushed to 5:30 AM — with no notice or communication whatsoever. I was left waiting for hours without any proper updates or support from the airline. It was exhausting and completely disrupted my schedule. I lost sleep for two nights and had to attend an important meeting tired and sleep-deprived, just trying to hold it together. SpiceJet showed zero empathy for passengers. They seem to treat delays like it’s just another day at work, without caring how it affects real people with real commitments. Would not recommend. Choose an airline that respects your time and communicates responsibly. Flights - SG 18 and SG 19",,business,economy_class,dubai_to_kochi,august_2025,1,2,2,2,1,1,1,no,spicejet
2025-07-21,2,"""Extremely dissatisfied""",Trip Verified," The flight was postponed 3 times with insufficient explanation. Highly inconvenient to fly with Spicejet with such pathetic time management. Secondly, the air condition in the plane was blasting making it uncomfortable for several passengers. When asked for blankets, the flight attendants informed that the blankets were reserved only for spicemax passengers. There needs to be a provision for such basic services. Thirdly, unnecessary announcement during late night flights. All of these experiences aggregated to making this highly inconvenient journey. I wouldnt recommend Spicejet to my friends and family.",,family_leisure,economy_class,pune_to_dubai,july_2025,1,3,,,3,,2,no,spicejet
2025-04-19,2,"""Very bad experience""",Trip Verified, They will charge you for your hand baggage if it exceeds 7kg including laptop. On ground staff are just horrible. Very bad experience and would never fly again with Spicejet .,,business,economy_class,mumbai_to_kolkata,april_2025,3,3,3,,1,,2,no,spicejet
2025-03-12,1,“What a difficult airline”,Trip Verified," The flight was delayed from 15:20 to 16:25. I passed on an Air India ticket at 16:00 so I could arrive home earlier. Then I sat at the same gate while Air India boarded for my destination and watched spicejet delay their flight again to 16:50. What the heck are they doing?! This is the second and last time I use this airline. The previous time was also a delay. Other airlines have been flying without issue, so I suspect it’s a spicejet problem. I recommend avoiding this airline at all costs unlesss you plan on delays.",,business,economy_class,"pune,_india_to_new_delhi,_india",march_2025,3,4,,,5,,1,no,spicejet
2025-03-02,2,“Poor chaotic boarding”,Trip Verified, No crowd control and boarding was like cattle are being herded. Inside flight no AC till aircraft was 10000 feet above ground and the aircraft inside was humid and sweaty. Poor show. Magazine bags were disorganised and dirty seats. Inflight service was slow and substandard. First time saw trash clearance bag placed over the serving trolley. Worst flight experience of the last 30 years. Hire me to head your flight service for a year and I’ll set the system right.,boeing_747,solo_leisure,economy_class,mumbai_to_new_delhi,march_2025,3,1,3,,1,,2,no,spicejet
2025-02-27,2,"""a ridiculous experience""",Trip Verified,"30 hours till 6.30 PM evening. I tried to call airline nobody responded why the delay ? I went to Delhi airport and thought at least the flight will take off at 6.30pm but the flight was on the runway waiting for half hour for clearance. The actual take off was at 7.20 PM, this was really a ridiculous experience we faced due to which our next plan totally collapsed. They don't bother about people, just worry about profits.",,family_leisure,economy_class,delhi_to_varanasi,february_2025,2,4,,,2,,1,no,spicejet
2025-02-26,7,"""Journey was comfortable""",Trip Verified, Ample space available between knee and seat in front of you. Well-mannered and clear language (English and Hindi) speaking crew led by Ms Unnati. Didnt have food nor used washroom so cannot comment on that. Journey was comfortable and no bumpy rides encountered. Communication from cockpit was also clear everytime. Cons: Boarding was not done in zone/seat number wise. Quite some mosquitoes seen before take off which bit me and some passengers. Crew applied some spray but wasnt enough. Pricing was a big let-down as huge increase seen while booking on 18-Feb for my journey date of 21-Feb in a short span of time. Slight delay in take-off after closing of doors.,boeing_737,business,economy_class,ahmedabad_to_new_delhi,february_2025,5,5,,,3,,2,yes,spicejet
2025-02-09,1,"""Unprofessional behaviour of the staff""",Not Verified," They have changed my seat twice first given me window seat then aisle, then middle seat, in the last minute saying that you have not paid money for the seat while I have paid more than 14000 to travel Mumbai to Delhi. They need to compensate for such behaviour and inconvenience.",sg_386,business,economy_class,mumbai_to_delhi,february_2025,1,1,1,1,1,1,1,no,spicejet
2025-02-02,1,"""charged for 2 kg hand baggage""",Trip Verified," Ground check in staff was pathetic. First of all charged for 2 kg hand baggage and charged 100 rs extra. Airplane was old, broken magazine holder, small leg room.",,solo_leisure,economy_class,jaipur_to_pune,january_2025,1,1,1,1,1,1,1,no,spicejet
2025-01-07,1,“abysmal level of service”,Not Verified," Incident Overview: Upon boarding the flight, I discovered that the check-in gates were closed 30 minutes before departure, leaving passengers scrambling to make it on time without clear instructions or assistance from the ground staff. To make matters worse, when I landed at my destination, my baggage did not arrive on the conveyor belt. Follow-Up Nightmare: I followed up multiple times with SpiceJet's management and customer service regarding the missing baggage. I was informed that my baggage would arrive on the next flight to Mumbai at 10 PM on January 6th. However, after waiting beyond 10 PM, the baggage still didn’t arrive. Upon contacting customer service yet again, the response I received was nothing short of shocking: ""We don’t really know much about it."" Eventually, I was informed that my baggage was declared lost, leaving me stranded without my belongings and without the airline's accountability. Unacceptable Service: This level of negligence is beyond disgraceful for an airline that claims to serve passengers professionally. It is unacceptable that: The baggage was not loaded onto the flight, reflecting the cabin crew's and ground staff's complete failure. The customer service team provided conflicting and unhelpful information, adding to the frustration. No compensation or proper resolution was offered for the lost baggage, leaving me to bear the financial and emotional burden. Call for Action: Stringent action must be taken against the flight management and cabin crew responsible for this mishandling. It is unacceptable for passengers to endure such incompetence and lack of accountability. This experience has severely eroded my trust in SpiceJet, and I will actively discourage others from using this airline unless significant improvements are made. Conclusion: SpiceJet's service was terrible, disgraceful, and indicative of a broader failure in customer care and operational efficiency. I demand an immediate investigation into this matter and appropriate compensation for my ordeal. Passengers deserve much better than this appalling level of service. I shall be taking Strict action against the flight management for this disgraceful experience; I highly urge and request people to avoid travelling on these cheap low-cost airlines with such a pathetic level of customer service , instead, I would recommend either alternative airlines to travel.",,solo_leisure,economy_class,dubai_to_mumbai_via_udaipur,january_2025,2,1,1,1,1,1,1,no,spicejet
